Tgl,x
2008-01-01,83
2008-01-02,24
2008-01-03,68
2008-01-04,13
2008-01-05,2
2008-01-06,2
2008-01-07,NA
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,2
2008-01-14,15
2008-01-15,3
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,0
2008-01-21,0
2008-01-22,2
2008-01-23,14
2008-01-24,0
2008-01-25,0
2008-01-26,15
2008-01-27,25
2008-01-28,31
2008-01-29,11
2008-01-30,57
2008-01-31,NA
2008-02-01,7
2008-02-02,74
2008-02-03,0
2008-02-04,5
2008-02-05,0
2008-02-06,10
2008-02-07,12
2008-02-08,43
2008-02-09,40
2008-02-10,30
2008-02-11,21
2008-02-12,5
2008-02-13,37
2008-02-14,8
2008-02-15,83
2008-02-16,5
2008-02-17,20
2008-02-18,41
2008-02-19,25
2008-02-20,19
2008-02-21,20
2008-02-22,37
2008-02-23,24
2008-02-24,9
2008-02-25,6
2008-02-26,6
2008-02-27,31
2008-02-28,18
2008-02-29,0
2008-03-01,15
2008-03-02,0
2008-03-03,45
2008-03-04,17
2008-03-05,26
2008-03-06,0
2008-03-07,49
2008-03-08,6
2008-03-09,28
2008-03-10,49
2008-03-11,23
2008-03-12,13
2008-03-13,110
2008-03-14,13
2008-03-15,3
2008-03-16,3
2008-03-17,3
2008-03-18,35
2008-03-19,6
2008-03-20,59
2008-03-21,5
2008-03-22,0
2008-03-23,4
2008-03-24,3
2008-03-25,2
2008-03-26,2
2008-03-27,0
2008-03-28,5
2008-03-29,1
2008-03-30,0
2008-03-31,0
2008-04-01,0
2008-04-02,0
2008-04-03,0
2008-04-04,0
2008-04-05,0
2008-04-06,5
2008-04-07,38
2008-04-08,27
2008-04-09,57
2008-04-10,68
2008-04-11,4
2008-04-12,5
2008-04-13,4
2008-04-14,0
2008-04-15,22
2008-04-16,5
2008-04-17,11
2008-04-18,0
2008-04-19,33
2008-04-20,1
2008-04-21,52
2008-04-22,35
2008-04-23,19
2008-04-24,0
2008-04-25,0
2008-04-26,0
2008-04-27,7
2008-04-28,0
2008-04-29,0
2008-04-30,0
2008-05-01,0
2008-05-02,0
2008-05-03,11
2008-05-04,5
2008-05-05,1
2008-05-06,4
2008-05-07,106
2008-05-08,3
