Tgl,x
2009-01-01,0
2009-01-02,10
2009-01-03,3
2009-01-04,16
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,11
2009-01-10,10
2009-01-11,34
2009-01-12,2
2009-01-13,9
2009-01-14,10
2009-01-15,26
2009-01-16,0
2009-01-17,32
2009-01-18,45
2009-01-19,8
2009-01-20,0
2009-01-21,29
2009-01-22,9
2009-01-23,20
2009-01-24,30
2009-01-25,14
2009-01-26,7
2009-01-27,2
2009-01-28,12
2009-01-29,0
2009-01-30,0
2009-01-31,3
2009-02-01,0
2009-02-02,0
2009-02-03,10
2009-02-04,0
2009-02-05,0
2009-02-06,4
2009-02-07,4
2009-02-08,20
2009-02-09,14
2009-02-10,0
2009-02-11,14
2009-02-12,35
2009-02-13,58
2009-02-14,14
2009-02-15,34
2009-02-16,78
2009-02-17,23
2009-02-18,70
2009-02-19,40
2009-02-20,8
2009-02-21,12
2009-02-22,25
2009-02-23,24
2009-02-24,5
2009-02-25,34
2009-02-26,3
2009-02-27,24
2009-02-28,0
2009-03-01,2
2009-03-02,0
2009-03-03,16
2009-03-04,29
2009-03-05,0
2009-03-06,7
2009-03-07,8
2009-03-08,4
2009-03-09,2
2009-03-10,0
2009-03-11,5
2009-03-12,33
2009-03-13,13
2009-03-14,4
2009-03-15,15
2009-03-16,0
2009-03-17,10
2009-03-18,18
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,8
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,22
2009-03-30,30
2009-03-31,6
2009-04-01,2
2009-04-02,0
2009-04-03,0
2009-04-04,6
2009-04-05,8
2009-04-06,0
2009-04-07,3
2009-04-08,28
2009-04-09,51
2009-04-10,0
2009-04-11,67
2009-04-12,0
2009-04-13,0
2009-04-14,0
2009-04-15,19
2009-04-16,3
2009-04-17,0
2009-04-18,0
2009-04-19,38
2009-04-20,29
2009-04-21,35
2009-04-22,31
2009-04-23,5
2009-04-24,7
2009-04-25,0
2009-04-26,29
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,21
2009-05-02,3
2009-05-03,52
2009-05-04,34
2009-05-05,0
2009-05-06,17
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,9
2009-05-11,18
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,3
2009-05-17,40
2009-05-18,39
2009-05-19,0
2009-05-20,13
2009-05-21,21
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,13
2009-05-27,20
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
