Tgl,x
2006-01-01,2
2006-01-02,14
2006-01-03,35
2006-01-04,0
2006-01-05,4
2006-01-06,3
2006-01-07,0
2006-01-08,75
2006-01-09,2
2006-01-10,40
2006-01-11,27
2006-01-12,30
2006-01-13,31
2006-01-14,55
2006-01-15,10
2006-01-16,14
2006-01-17,9
2006-01-18,5
2006-01-19,20
2006-01-20,0
2006-01-21,4
2006-01-22,6
2006-01-23,13
2006-01-24,75
2006-01-25,25
2006-01-26,30
2006-01-27,70
2006-01-28,23
2006-01-29,18
2006-01-30,0
2006-01-31,45
2006-02-01,10
2006-02-02,0
2006-02-03,0
2006-02-04,5
2006-02-05,30
2006-02-06,40
2006-02-07,25
2006-02-08,40
2006-02-09,82
2006-02-10,11
2006-02-11,14
2006-02-12,4
2006-02-13,16
2006-02-14,0
2006-02-15,0
2006-02-16,11
2006-02-17,29
2006-02-18,6
2006-02-19,6
2006-02-20,27
2006-02-21,13
2006-02-22,70
2006-02-23,22
2006-02-24,0
2006-02-25,32
2006-02-26,58
2006-02-27,8
2006-02-28,18
2006-03-01,4
2006-03-02,3
2006-03-03,0
2006-03-04,0
2006-03-05,0
2006-03-06,0
2006-03-07,0
2006-03-08,0
2006-03-09,0
2006-03-10,3
2006-03-11,6
2006-03-12,2
2006-03-13,0
2006-03-14,0
2006-03-15,0
2006-03-16,0
2006-03-17,3
2006-03-18,9
2006-03-19,0
2006-03-20,10
2006-03-21,22
2006-03-22,10
2006-03-23,5
2006-03-24,12
2006-03-25,24
2006-03-26,5
2006-03-27,10
2006-03-28,5
2006-03-29,0
2006-03-30,0
2006-03-31,26
2006-04-01,0
2006-04-02,0
2006-04-03,0
2006-04-04,14
2006-04-05,0
2006-04-06,0
2006-04-07,22
2006-04-08,5
2006-04-09,0
2006-04-10,0
2006-04-11,52
2006-04-12,56
2006-04-13,13
2006-04-14,16
2006-04-15,10
2006-04-16,7
2006-04-17,0
2006-04-18,0
2006-04-19,0
2006-04-20,16
2006-04-21,21
2006-04-22,41
2006-04-23,0
2006-04-24,8
2006-04-25,32
2006-04-26,42
2006-04-27,0
2006-04-28,0
2006-04-29,4
2006-04-30,5
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-05,0
2006-05-06,0
2006-05-07,17
2006-05-08,0
2006-05-09,11
2006-05-10,0
2006-05-11,32
2006-05-12,0
2006-05-13,42
2006-05-14,0
2006-05-15,0
2006-05-16,0
2006-05-17,0
2006-05-18,0
2006-05-19,21
2006-05-20,0
2006-05-21,11
2006-05-22,0
2006-05-23,0
2006-05-24,0
2006-05-25,0
2006-05-26,0
2006-05-27,14
2006-05-28,27
2006-05-29,0
2006-05-30,0
2006-05-31,0
2006-06-01,0
2006-06-02,16
2006-06-03,14
2006-06-04,0
2006-06-05,0
2006-06-06,0
2006-06-07,0
2006-06-08,0
2006-06-09,0
2006-06-10,0
2006-06-11,0
2006-06-12,0
2006-06-13,0
2006-06-14,13
2006-06-15,0
2006-06-16,0
2006-06-17,0
2006-06-18,0
2006-06-19,0
2006-06-20,0
2006-06-21,0
2006-06-22,5
2006-06-23,4
2006-06-24,0
2006-06-25,0
2006-06-26,0
2006-06-27,0
2006-06-28,0
2006-06-29,0
2006-06-30,0
2006-07-01,0
2006-07-02,0
2006-07-03,0
2006-07-04,0
2006-07-05,0
2006-07-06,0
2006-07-07,0
2006-07-08,0
2006-07-09,0
2006-07-10,6
2006-07-11,0
2006-07-12,0
2006-07-13,0
2006-07-14,0
2006-07-15,0
2006-07-16,0
2006-07-17,0
2006-07-18,20
2006-07-19,7
2006-07-20,0
2006-07-21,0
2006-07-22,0
2006-07-23,0
2006-07-24,0
2006-07-25,0
2006-07-26,0
2006-07-27,0
2006-07-28,0
2006-07-29,6
2006-07-30,3
2006-07-31,0
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
