Tgl,x
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,1
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,1
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,2
2009-09-03,1
2009-09-04,0
2009-09-05,0
2009-09-06,1
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,3
2009-09-12,3
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,6
2009-09-18,1
2009-09-19,1
2009-09-20,2
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,1
2009-09-25,1
2009-09-26,7
2009-09-27,0
2009-09-28,2
2009-09-29,0
2009-09-30,0
2009-10-01,1
2009-10-02,0
2009-10-03,1
2009-10-04,20
2009-10-05,24
2009-10-06,40
2009-10-07,9
2009-10-08,25
2009-10-09,1
2009-10-10,0
2009-10-11,7
2009-10-12,0
2009-10-13,7
2009-10-14,0
2009-10-15,25
2009-10-16,16
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,13
2009-10-23,18
2009-10-24,24
2009-10-25,22
2009-10-26,0
2009-10-27,1
2009-10-28,22
2009-10-29,2
2009-10-30,0
2009-10-31,0
2009-11-01,6
2009-11-02,0
2009-11-03,0
2009-11-04,4
2009-11-05,10
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,6
2009-11-12,41
2009-11-13,1
2009-11-14,68
2009-11-15,9
2009-11-16,11
2009-11-17,1
2009-11-18,18
2009-11-19,2
2009-11-20,65
2009-11-21,26
2009-11-22,12
2009-11-23,26
2009-11-24,0
2009-11-25,83
2009-11-26,16
2009-11-27,17
2009-11-28,0
2009-11-29,9
2009-11-30,19
2009-12-01,7
2009-12-02,25
2009-12-03,11
2009-12-04,6
2009-12-05,7
2009-12-06,2
2009-12-07,7
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,22
2009-12-12,0
2009-12-13,2
2009-12-14,5
2009-12-15,2
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,2
2009-12-24,34
2009-12-25,21
2009-12-26,61
2009-12-27,17
2009-12-28,29
2009-12-29,49
2009-12-30,2
2009-12-31,12
