Tgl,x
2009-01-01,2
2009-01-02,11
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,22
2009-01-08,1
2009-01-09,45
2009-01-10,5
2009-01-11,2
2009-01-12,17
2009-01-13,68
2009-01-14,107
2009-01-15,110
2009-01-16,58
2009-01-17,37
2009-01-18,75
2009-01-19,15
2009-01-20,19
2009-01-21,18
2009-01-22,0
2009-01-23,1
2009-01-24,1
2009-01-25,33
2009-01-26,39
2009-01-27,0
2009-01-28,3
2009-01-29,12
2009-01-30,43
2009-01-31,33
2009-02-01,9
2009-02-02,106
2009-02-03,49
2009-02-04,98
2009-02-05,32
2009-02-06,49
2009-02-07,39
2009-02-08,9
2009-02-09,68
2009-02-10,35
2009-02-11,1
2009-02-12,2
2009-02-13,3
2009-02-14,10
2009-02-15,2
2009-02-16,2
2009-02-17,24
2009-02-18,12
2009-02-19,1
2009-02-20,12
2009-02-21,33
2009-02-22,10
2009-02-23,25
2009-02-24,14
2009-02-25,1
2009-02-26,2
2009-02-27,4
2009-02-28,6
2009-03-01,11
2009-03-02,2
2009-03-03,0
2009-03-04,0
2009-03-05,24
2009-03-06,3
2009-03-07,76
2009-03-08,7
2009-03-09,6
2009-03-10,72
2009-03-11,23
2009-03-12,39
2009-03-13,43
2009-03-14,14
2009-03-15,16
2009-03-16,10
2009-03-17,4
2009-03-18,2
2009-03-19,7
2009-03-20,0
2009-03-21,0
2009-03-22,21
2009-03-23,7
2009-03-24,10
2009-03-25,33
2009-03-26,23
2009-03-27,16
2009-03-28,1
2009-03-29,28
2009-03-30,23
2009-03-31,23
2009-04-01,9
2009-04-02,0
2009-04-03,0
2009-04-04,33
2009-04-05,0
2009-04-06,14
2009-04-07,42
2009-04-08,78
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,13
2009-04-15,0
2009-04-16,25
2009-04-17,12
2009-04-18,0
2009-04-19,0
2009-04-20,45
2009-04-21,0
2009-04-22,45
2009-04-23,1
2009-04-24,36
2009-04-25,0
2009-04-26,0
2009-04-27,5
2009-04-28,48
2009-04-29,1
2009-04-30,0
2009-05-01,24
2009-05-02,31
2009-05-03,0
2009-05-04,27
2009-05-05,4
2009-05-06,25
2009-05-07,13
2009-05-08,13
2009-05-09,39
2009-05-10,0
2009-05-11,16
2009-05-12,41
2009-05-13,0
2009-05-14,5
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,86
2009-05-20,0
2009-05-21,18
2009-05-22,25
2009-05-23,7
2009-05-24,27
2009-05-25,2
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,1
2009-05-31,6
2009-06-01,1
2009-06-02,0
2009-06-03,14
2009-06-04,0
2009-06-05,6
2009-06-06,0
2009-06-07,23
2009-06-08,0
2009-06-09,0
2009-06-10,26
2009-06-11,0
2009-06-12,1
2009-06-13,0
2009-06-14,0
2009-06-15,11
2009-06-16,7
2009-06-17,10
2009-06-18,3
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,5
2009-06-23,0
2009-06-24,1
2009-06-25,3
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,2
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,1
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,45
2009-07-26,6
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,0
2009-08-10,0
